timestamp(ms),temperature,OrientX(deg),OrientY(deg),OrientZ(deg),GyroX(rad/s),GyroY(rad/s),GyroZ(rad/s),LinearX(m/s^2),LinearY(m/s^2),LinearZ(m/s^2),MagX(uT),MagY(uT),MagZ(uT),AcclX(m/s^2),AcclY(m/s^2),AcclZ(m/s^2),GravityX(m/s^2),GravityY(m/s^2),GravityZ(m/s^2),
"1678299189,494",,,,,,,,,"0",,,,,,,,,,,
"1678299189,498",,,,,,,,,,"0",,,,,,,,,,
"1678299189,502",,,,,,,,,,,"0",,,,,,,,,
"1678299189,505",,,,,,,,,,,,"0",,,,,,,,
"1678299189,509",,,,,,,,,,,,,"0",,,,,,,
"1678299189,513",,,,,,,,,,,,,,"0",,,,,,
"1678299189,517",,,,,,,,,,,,,,,"-0,33",,,,,
"1678299189,521",,,,,,,,,,,,,,,,"9,65",,,,
"1678299189,526",,,,,,,,,,,,,,,,,"0",,,
"1678299189,53",,,,,,,,,,,,,,,,,,"0",,
"1678299189,535",,,,,,,,,,,,,,,,,,,"0",
"1678299189,538","24",,,,,,,,,,,,,,,,,,,
"1678299189,567",,"0",,,,,,,,,,,,,,,,,,
"1678299189,571",,,"0",,,,,,,,,,,,,,,,,
"1678299189,576",,,,"0",,,,,,,,,,,,,,,,
"1678299189,58",,,,,"0",,,,,,,,,,,,,,,
"1678299189,584",,,,,,"0",,,,,,,,,,,,,,
"1678299189,588",,,,,,,"0",,,,,,,,,,,,,
"1678299189,592",,,,,,,,"0",,,,,,,,,,,,
"1678299189,597",,,,,,,,,"0",,,,,,,,,,,
"1678299189,601",,,,,,,,,,"0",,,,,,,,,,
"1678299189,605",,,,,,,,,,,"0",,,,,,,,,
"1678299189,608",,,,,,,,,,,,"0",,,,,,,,
"1678299189,612",,,,,,,,,,,,,"0",,,,,,,
"1678299189,616",,,,,,,,,,,,,,"0,06",,,,,,
"1678299189,62",,,,,,,,,,,,,,,"-0,32",,,,,
"1678299189,624",,,,,,,,,,,,,,,,"9,59",,,,
"1678299189,629",,,,,,,,,,,,,,,,,"0",,,
"1678299189,634",,,,,,,,,,,,,,,,,,"0",,
"1678299189,638",,,,,,,,,,,,,,,,,,,"0",
"1678299189,641","24",,,,,,,,,,,,,,,,,,,
"1678299189,671",,"0",,,,,,,,,,,,,,,,,,
"1678299189,675",,,"0",,,,,,,,,,,,,,,,,
"1678299189,679",,,,"0",,,,,,,,,,,,,,,,
"1678299189,683",,,,,"0",,,,,,,,,,,,,,,
"1678299189,687",,,,,,"0",,,,,,,,,,,,,,
"1678299189,691",,,,,,,"0",,,,,,,,,,,,,
"1678299189,696",,,,,,,,"0",,,,,,,,,,,,
"1678299189,7",,,,,,,,,"0",,,,,,,,,,,
"1678299189,705",,,,,,,,,,"0",,,,,,,,,,
"1678299189,708",,,,,,,,,,,"0",,,,,,,,,
"1678299189,712",,,,,,,,,,,,"0",,,,,,,,
"1678299189,715",,,,,,,,,,,,,"0",,,,,,,
"1678299189,719",,,,,,,,,,,,,,"0,07",,,,,,
"1678299189,723",,,,,,,,,,,,,,,"-0,26",,,,,
"1678299189,727",,,,,,,,,,,,,,,,"9,62",,,,
"1678299189,732",,,,,,,,,,,,,,,,,"0",,,
"1678299189,737",,,,,,,,,,,,,,,,,,"0",,
"1678299189,741",,,,,,,,,,,,,,,,,,,"0",
"1678299189,745","24",,,,,,,,,,,,,,,,,,,
"1678299189,774",,"0",,,,,,,,,,,,,,,,,,
